equipment_type_desc,circuit_label_type_desc,sum_power,category
Water Heater,Electric Resistance Storage Water Heaters,748.756,Heating
Water Heater + Others,Instantaneous Water Heater (Gas),13.612,Heating
Water Heater Closet Spare,Other,2.326,Other
Water Heating,Heat Pump Water Heater,272.875,Heating
Water Softener,Other,17.173000000000002,Other
Water Source Heat Pump,Ducted Heatpump,1314.241,Heating
Water Tank,Other,142.98600000000002,Other
WaterHeating,Electric Resistance Storage Water Heaters,193.422,Heating
WaterHeating,Heat Pump Water Heater,2322.926,Heating
Welder Plug,Other,0,Other
Well Pump,Other,95.678,Other
Well Pump & Other,Other,91.508,Other
Well Pump + Wrt Press Switch,Other,543.712,Other
Wguest Wing L&Plugs,Other,44.271,Other
Whirlpool Tub,Other,1.949,Other
Whole House Power,Mains,852979.145,Mains
Whole House Power,Mains With Solar,68314.803,Mains
Wood  - Stove/Fireplace,Other Zonal Heat,0.178,Heating
Workbench,Other,31.585,Other
Workbench,Other,738.037,Other
Xmas,Other,0,Other
? Kitchen Plugs,Other,22.065,Other
#2 Bedroom And Hallway Lights,Other,5.078,Other
100 A Subpanel,Other,2021.68,Other
2 Bedroom And 2 Bathroom,Other With Solar,87.768,Other
2 Beds,Other,191.156,Other
2 Upper Bedrooms,Other,15.445,Other
200V Shop Plug,Other,1.623,Other
240V Chevy,Electric Vehicle Charger,2420.581,Other
"2nd Floor Guest Room W/ Router, 1st Floor Bathroom, Living Room Outlet",Other,87.69800000000001,Other
3 Receps. Dining Room,Other,0.79,Other
30 Amp RV Outlet,Other,1289.521,Other
50 Amp RV Outlet,Other,0.21,Other
AC,Central AC,38.454,AC
AC Wall Unit,Ductless Heatpump,0.47200000000000003,Heating
"Addition Master - Bathroom Fan, Lights, Wall Heater",Other,0.381,Other
Addition Master  Bathroom Wall Outlets,Other,0,Other
Addition Subpanel,Other,1060.894,Other
Air Compressors For Attic Furnace,Gas Furnace (Component),1501.531,Heating
Air Handler,Electric Furnace,3821.37,Heating
Air Handler,Other,102.03099999999999,Other
Air Purifier Fan,Other,23.798000000000002,Other
Air/lights/outlets Upstairs,Other,115.192,Other
Alex's Room/Hall,Other,174.419,Other
Appliance,Other,943.134,Other
Appliance Circuit,Other,402.808,Other
Appliance Circuit,Other,0.029,Other
Appliances,Other,761.0360000000001,Other
Appliances - Kitchen Outlets?,Other,146.885,Other
Attic,Other,8.151,Other
Attic Furnace,Gas Furnace (Component),86.023,Heating
Attic Outlet + Lts / Studio Lights,Other,11.901,Other
Back Bedroom,Other,123.763,Other
Back Bedroom Lights And Outlets,Other,40.01,Other
Back Deck Outlets,Other,4.508,Other
"Back Porch, Outdoor Refrigerators",Other,369.512,Other
Back Room,Other,1.319,Other
Backyard Lights,Other,0.019,Other
Backyard Plug And Garage Doors,Other With Solar,274.784,Other
Barn / Compactor,Other,7.315,Other
